id,prioridad,capacidad,entregable,aceptacion,dependencias,estado,estado_2026-09-13
TF01,P0,Benchmark comparable,Baseline y ejecutor de escenarios,Resultados reproducibles por familia y coste total,,Propuesto,En curso: este lote (PR1/T1) entrega el manifiesto de aceptacion y `scripts/acceptance_run.py`; falta comparacion de familias y coste total contra un motor de referencia
TF02,P1,SDK publico,Cliente TypeScript y contratos versionados,Aplicacion externa ejecuta ciclo completo de sesion,TF01,Propuesto,No iniciado: sin cliente TS publicado; solo guia de cliente y scripts Python (docs/api/client-guide.md)
TF03,P1,UI embebible,Paquete de componentes y ejemplo externo,Streaming approvals preguntas y reconexion con aislamiento,TF02,Propuesto,No iniciado: sin paquete de UI embebible; Studio es la unica UI (web + wrapper Electron)
TF04,P2,Carga diferida de herramientas,Busqueda y resolucion de esquemas,Menor contexto sin caida de exito ni permisos,TF01,Propuesto,Parcial: src/tool_index.py y src/tool_capabilities.py existen; discovery diferida con fallback acotado sin test de aceptacion (A08/A09 fuera de este contrato)
TF05,P2,Code Mode,Composicion autorizada de llamadas,Traza y aprobacion por efecto con limites y cancelacion,TF04;TF07,Propuesto,No iniciado: sin puente code-mode hacia src/tool_execution.py encontrado en el arbol auditado
TF06,P2,Resultados grandes,Referencias duraderas y lectura parcial,Recuperacion tras reinicio y control de ambito,TF01,Propuesto,Parcial: src/artifact_store.py existe; retencion/lectura parcial tras reinicio sin caso de aceptacion (A12/A13 fuera de este contrato)
TF07,P2,Sandbox enchufable,Contrato comun local aislado y remoto,Separacion de secretos red recursos y limpieza,TF01,Propuesto,Parcial: Docker opt-in (src/sandbox_exec.py) + clasificacion de comandos (src/command_guard.py); sin interfaz de proveedor local/remoto enchufable
TF08,P2,Skills versionadas,Catalogo git con revision fijada y rollback,Instalacion actualizacion y reversion reproducibles,TF07,Propuesto,Parcial: SKILL.md/importacion existen (src/workflows/skills.py); catalogo git con revision fijada y rollback (A25) sin validar
TF09,P2,MCP y autorizacion,Paridad de transportes OAuth y seleccion,Renovacion de token y aprobaciones por usuario,TF01,Propuesto,Parcial: transportes stdio/SSE/HTTP y OAuth MCP existen (src/mcp_manager.py, src/mcp_oauth.py); renovacion/reconexion real sin test de aceptacion (A18/A19 fuera de este contrato)
TF10,P2,Compaccion y subagentes,Optimizar contratos existentes,Ablacion de calidad coste readquisicion y cancelacion,TF01;TF06,Propuesto,Parcial: src/context_compactor.py existe y esta cableado; ablacion de coste/calidad de recuperacion no medida
TF11,P3,Recuperacion de ejecucion,Reconciliacion y leases sobre infraestructura existente,Fallos inyectados sin duplicaciones en fixtures,TF02,Propuesto,En curso: A05/A06 (unknown_effect en tool-calls de chat y fencing de leases) abiertos en la reauditoria de hoy; workflows ya tienen el patron equivalente (src/workflows/store.py)
TF12,P3,Team y OIDC,Perfil compartido y aislamiento validado,Pruebas dos usuarios dos workers backup y restauracion,TF11,Propuesto,No iniciado: sin login OIDC de la aplicacion; src/mcp_oauth.py cubre OAuth de servidores MCP externos, no sustituye el login
